order_id,order_status,product_id,product_name,order_value,quantity
ORD1001,Processing,prod_9,Apple Wireless Earbuds,129,1
ORD1002,Pending,prod_10,Apple Smart Watch,249,1
ORD1003,Completed,prod_4,Wireless Headphones,59,1
ORD1004,Shipped,prod_11,RGB Gaming Mouse,39,1
ORD1005,Pending,prod_6,Security Camera,89,1
ORD1006,Processing,prod_3,Smart Watch White,89,1
ORD1007,Completed,prod_2,Smart Speaker Gray,49,1
ORD1008,Shipped,prod_12,Smart Home Cleaner,149,1
ORD1009,Pending,prod_8,Home Theater,299,1
ORD1010,Completed,prod_7,Smart Pen for iPad,69,1
ORD1011,Processing,prod_5,Smart Watch Black,79,1
ORD1012,Shipped,prod_1,Modern Table Lamp,29,1
ORD1013,Pending,prod_9,Apple Wireless Earbuds,258,2
ORD1014,Completed,prod_10,Apple Smart Watch,249,1
ORD1015,Processing,prod_4,Wireless Headphones,118,2
ORD1016,Shipped,prod_6,Security Camera,89,1
ORD1017,Pending,prod_3,Smart Watch White,89,1
ORD1018,Completed,prod_11,RGB Gaming Mouse,39,1
ORD1019,Processing,prod_12,Smart Home Cleaner,149,1
ORD1020,Shipped,prod_2,Smart Speaker Gray,49,1
ORD1021,Pending,prod_8,Home Theater,299,1
ORD1022,Completed,prod_7,Smart Pen for iPad,69,1
ORD1023,Processing,prod_5,Smart Watch Black,79,1
ORD1024,Shipped,prod_9,Apple Wireless Earbuds,129,1
ORD1025,Pending,prod_1,Modern Table Lamp,58,2
ORD1026,Completed,prod_10,Apple Smart Watch,249,1
ORD1027,Processing,prod_4,Wireless Headphones,59,1
ORD1028,Shipped,prod_6,Security Camera,178,2
ORD1029,Pending,prod_3,Smart Watch White,89,1
ORD1030,Completed,prod_12,Smart Home Cleaner,149,1
ORD1031,Processing,prod_11,RGB Gaming Mouse,78,2
ORD1032,Shipped,prod_2,Smart Speaker Gray,49,1
ORD1033,Pending,prod_8,Home Theater,299,1
ORD1034,Completed,prod_7,Smart Pen for iPad,138,2
ORD1035,Processing,prod_5,Smart Watch Black,79,1
ORD1036,Shipped,prod_9,Apple Wireless Earbuds,129,1
ORD1037,Pending,prod_10,Apple Smart Watch,498,2
ORD1038,Completed,prod_1,Modern Table Lamp,29,1
ORD1039,Processing,prod_4,Wireless Headphones,59,1
ORD1040,Shipped,prod_6,Security Camera,89,1
ORD1041,Pending,prod_12,Smart Home Cleaner,298,2
ORD1042,Completed,prod_3,Smart Watch White,89,1
ORD1043,Processing,prod_11,RGB Gaming Mouse,39,1
ORD1044,Shipped,prod_2,Smart Speaker Gray,98,2
ORD1045,Pending,prod_8,Home Theater,299,1
ORD1046,Completed,prod_9,Apple Wireless Earbuds,129,1
ORD1047,Processing,prod_7,Smart Pen for iPad,69,1
ORD1048,Shipped,prod_5,Smart Watch Black,158,2
ORD1049,Pending,prod_10,Apple Smart Watch,249,1
ORD1050,Completed,prod_1,Modern Table Lamp,29,1
